date,open,high,low,close,volume
8/19/2004,2.4908,2.5917,2.39,2.4989,22245987
8/20/2004,2.5274,2.7167,2.503,2.6975,11374427
8/23/2004,2.7605,2.8262,2.7159,2.7246,9093652
8/24/2004,2.7719,2.7794,2.5794,2.6118,7594923
8/25/2004,2.614,2.6897,2.5871,2.6399,4576852
8/26/2004,2.6178,2.6885,2.6066,2.6875,3534055
8/27/2004,2.6925,2.7052,2.6322,2.6437,3094208
8/30/2004,2.6273,2.6273,2.5406,2.5406,2588777
8/31/2004,2.5483,2.5829,2.5443,2.5495,2451669
9/1/2004,2.5577,2.5644,2.4823,2.4967,4551833
9/2/2004,2.4678,2.5495,2.4641,2.5281,7530750
9/3/2004,2.5142,2.5339,2.4736,2.4908,2566474
9/7/2004,2.5157,2.5404,2.4808,2.5299,2912790
9/8/2004,2.5089,2.566,2.503,2.5478,2483358
9/9/2004,2.5528,2.5581,2.5155,2.5481,2023225
9/10/2004,2.5304,2.6539,2.5229,2.6233,4333139
9/13/2004,2.6619,2.7,2.6514,2.6773,3907240
9/14/2004,2.6818,2.7894,2.6596,2.7767,5395631
9/15/2004,2.7535,2.8449,2.7446,2.7894,5336487
9/16/2004,2.7978,2.884,2.7806,2.8384,4615459
9/17/2004,2.8496,2.9261,2.828,2.9261,4718470
9/20/2004,2.9127,3.0285,2.9082,2.9727,5294428
9/21/2004,2.9936,2.9991,2.9266,2.9348,3600663
9/22/2004,2.9251,2.9804,2.9092,2.9483,3776378
9/23/2004,2.9597,3.0541,2.9144,3.009,4252000
9/24/2004,3.0128,3.0907,2.9827,2.9844,4544906
9/27/2004,2.9777,3.0106,2.9338,2.9453,3519980
9/28/2004,3.0148,3.1729,2.9939,3.1595,8433282
9/29/2004,3.1513,3.3627,3.1438,3.2646,15200932
9/30/2004,3.2431,3.2949,3.2127,3.2277,6852881
10/1/2004,3.2536,3.3432,3.2102,3.3019,7534011
10/4/2004,3.3826,3.4088,3.338,3.3637,6500687
10/5/2004,3.3537,3.4501,3.2934,3.4461,7463739
10/6/2004,3.4287,3.4481,3.3871,3.414,6665514
10/7/2004,3.4011,3.4838,3.4008,3.4581,7031124
10/8/2004,3.4551,3.4788,3.4125,3.4302,5514385
10/11/2004,3.4123,3.4584,3.3336,3.3687,5219521
10/12/2004,3.3495,3.4272,3.3224,3.422,5830391
10/13/2004,3.5694,3.5751,3.4887,3.5091,9847039
10/14/2004,3.5121,3.546,3.4508,3.5365,5202647
10/15/2004,3.61,3.6237,3.5353,3.5891,6572764
10/18/2004,3.5664,3.7158,3.5168,3.7148,6992387
10/19/2004,3.7483,3.7956,3.6698,3.6845,9020981
10/20/2004,3.6844,3.7106,3.4767,3.4989,11323214
10/21/2004,3.5858,3.739,3.527,3.7203,14572071
10/22/2004,4.2419,4.4872,4.0864,4.2944,36726512
10/25/2004,4.3903,4.8423,4.2974,4.6672,32608478
10/26/2004,4.6436,4.7978,4.483,4.5278,22202087
10/27/2004,4.5399,4.72,4.527,4.6316,13294517
10/28/2004,4.6481,4.8413,4.6224,4.8142,14776204
10/29/2004,4.9402,4.9798,4.7469,4.7479,21062132
11/1/2004,4.8191,4.923,4.7636,4.8822,12169154
11/2/2004,4.9477,4.9624,4.8152,4.8533,11294589
11/3/2004,4.936,5.0209,4.7507,4.7736,13824096
11/4/2004,4.6884,4.742,4.5664,4.6,14368655
11/5/2004,4.5328,4.5402,4.1978,4.2177,19741133
11/8/2004,4.2571,4.3694,4.2189,4.2974,11144441
11/9/2004,4.336,4.3634,4.1161,4.2015,11060572
11/10/2004,4.2506,4.2967,4.1425,4.1806,10595248
11/11/2004,4.2122,4.5763,4.1733,4.5581,14915149
11/12/2004,4.6132,4.727,4.4182,4.5328,16660766
11/15/2004,4.4891,4.6901,4.4518,4.6042,11837507
11/16/2004,4.4207,4.4698,4.2546,4.2973,20819620
11/17/2004,4.2104,4.4206,4.2089,4.2961,18046971
11/18/2004,4.2339,4.3439,4.1275,4.1726,16551127
11/19/2004,4.2114,4.2333,4.1472,4.2189,8739059
11/22/2004,4.2001,4.2214,4.0174,4.1118,12309957
11/23/2004,4.1819,4.2545,4.1467,4.1721,12270684
11/24/2004,4.3544,4.4134,4.2964,4.3524,15211275
11/26/2004,4.3783,4.4837,4.3663,4.4677,6449147
11/29/2004,4.4919,4.5564,4.4209,4.5091,10615839
11/30/2004,4.5006,4.5576,4.4891,4.5322,7708659
12/1/2004,4.5352,4.5452,4.4717,4.4819,7830660
12/2/2004,4.4804,4.5205,4.4468,4.468,6235174
12/3/2004,4.4829,4.5093,4.4232,4.4929,5842696
12/6/2004,4.4612,4.5003,4.3838,4.3905,6224074
12/7/2004,4.3833,4.3883,4.2476,4.2695,6838301
12/8/2004,4.2481,4.3255,4.2023,4.2334,7345800
12/9/2004,4.2401,4.321,4.1958,4.3193,7617191
12/10/2004,4.3193,4.3554,4.266,4.275,4296994
12/13/2004,4.2879,4.3131,4.2202,4.2451,4795744
12/14/2004,4.2587,4.4535,4.2239,4.4503,11035641
12/15/2004,4.4328,4.5001,4.3997,4.4774,11487556
12/16/2004,4.4037,4.4951,4.382,4.395,8532689
12/17/2004,4.4082,4.4954,4.397,4.4849,7377216
12/20/2004,4.5309,4.6936,4.5294,4.6079,9787802
12/21/2004,4.6366,4.6792,4.5676,4.5763,5491342
12/22/2004,4.58,4.6535,4.5579,4.6398,3889411
12/23/2004,4.6685,4.6971,4.6324,4.6797,3597319
12/27/2004,4.7108,4.8141,4.7095,4.7795,6075095
12/28/2004,4.7845,4.8204,4.7571,4.8007,4126097
12/29/2004,4.7763,4.8196,4.7763,4.8042,2665737
12/30/2004,4.806,4.937,4.7781,4.9213,5872764
12/31/2004,4.9619,4.9781,4.7958,4.8015,7632215
1/3/2005,4.9163,5.0717,4.8679,5.0485,15772045
1/4/2005,5.0141,5.0539,4.8186,4.844,13690708
1/5/2005,4.8179,4.9038,4.7875,4.8194,8197443
1/6/2005,4.8628,4.879,4.6752,4.6959,10337272
1/7/2005,4.748,4.8379,4.7017,4.8279,9615774
1/10/2005,4.8441,4.9337,4.7776,4.858,7505837
1/11/2005,4.8659,4.924,4.8111,4.8201,6925826
1/12/2005,4.8398,4.8797,4.7445,4.866,8316824
1/13/2005,4.8659,4.916,4.8328,4.8647,6817392
1/14/2005,4.8814,4.9812,4.8348,4.9803,9595209
1/18/2005,5.0032,5.1061,4.9477,5.0782,13128259
1/19/2005,5.0966,5.113,4.8991,4.9138,11172745
1/20/2005,4.7942,4.8876,4.7818,4.8296,8960406
1/21/2005,4.845,4.8654,4.6851,4.6891,9247269
1/24/2005,4.6994,4.7154,4.4909,4.5009,13958893
1/25/2005,4.5377,4.5387,4.3905,4.4112,10615646
1/26/2005,4.4647,4.7173,4.4617,4.713,12276963
1/27/2005,4.6969,4.7036,4.6125,4.6842,6597574
1/28/2005,4.7324,4.849,4.6408,4.7404,12151068
1/31/2005,4.8283,4.8903,4.7748,4.8719,9551017
2/1/2005,4.8411,4.8979,4.7477,4.7793,18691845
2/2/2005,5.3705,5.3994,5.0722,5.1295,32705364
2/3/2005,5.127,5.3141,5.1257,5.2515,12944017
2/4/2005,5.1421,5.174,5.0458,5.0896,14749872
